Gene,Bacteria,Present,Category
HopAB1,G.diazotrophicus,0,Effector
HopE1,G.diazotrophicus,0,Effector
HopAW1,G.diazotrophicus,0,Effector
HopP1,G.diazotrophicus,1,Effector
AvrBs2,G.diazotrophicus,0,Effector
AvrA,G.diazotrophicus,0,Effector
AvrRxv,G.diazotrophicus,0,Effector
AvrRpm1,G.diazotrophicus,0,Effector
AvrXccE1,G.diazotrophicus,0,Effector
AvrRpt2,G.diazotrophicus,0,Effector
AvrBs3,G.diazotrophicus,0,Effector
AvrE1,G.diazotrophicus,0,Effector
AvrB3,G.diazotrophicus,0,Effector
AvrXccB,G.diazotrophicus,0,Effector
DspA/E,G.diazotrophicus,0,Effector
DspF,G.diazotrophicus,0,Effector
Rsc3369,G.diazotrophicus,0,Effector
MxiE,G.diazotrophicus,1,Effector
ExoU,G.diazotrophicus,0,Effector
T2SS,G.diazotrophicus,0,T2SS
T3SS,G.diazotrophicus,0,T3SS
T4SS,G.diazotrophicus,0,T4SS
T6SS,G.diazotrophicus,0,T6SS
Flagella,G.diazotrophicus,1,Flagella
Pili,G.diazotrophicus,1,Pili
Pectate disaccharide-lyase,A.brasilense,0,PCWDE
Pectate lyase,A.brasilense,0,PCWDE
Rhanmogalacturonan endolyase,A.brasilense,0,PCWDE
Pectin lyase,A.brasilense,0,PCWDE
Cellulase,A.brasilense,1,PCWDE
beta-xylanase,A.brasilense,1,PCWDE
Arabinosidase,A.brasilense,0,PCWDE
beta-galactosidase,A.brasilense,1,PCWDE
beta-xylosidase,A.brasilense,1,PCWDE
beta-glucosidase,A.brasilense,1,PCWDE
alpha-galactosidase,A.brasilense,1,PCWDE
Galactanase,A.brasilense,0,PCWDE
Polyglacturonase,A.brasilense,0,PCWDE
Avicelase,A.brasilense,0,PCWDE
alpha-L-arabinosidase,A.brasilense,0,PCWDE
alpha-glucuronidase,A.brasilense,0,PCWDE
Harpin(HrpN),A.brasilense,0,Harpin
Harpin(HrpW),A.brasilense,0,Harpin
Harpin(HrpA2),A.brasilense,0,Harpin
Harpin(HrpZ1),A.brasilense,0,Harpin
Harpin(HrpK1),A.brasilense,0,Harpin
Harpin(PopW),A.brasilense,0,Harpin
Harpin(HrcR),A.brasilense,0,Harpin
Harpin(HopAK1),A.brasilense,0,Harpin
HopAN1,A.brasilense,0,Effector
HopAC1,A.brasilense,0,Effector
HopAG1,A.brasilense,0,Effector
HopAH1,A.brasilense,0,Effector
HopAI1,A.brasilense,0,Effector
HopJ1,A.brasilense,0,Effector
HopAA1,A.brasilense,0,Effector
HopM1,A.brasilense,0,Effector
HopX1,A.brasilense,0,Effector
HopQ1,A.brasilense,0,Effector
HopF2,A.brasilense,0,Effector
HopV1,A.brasilense,0,Effector
HopR1,A.brasilense,0,Effector
HopZ3,A.brasilense,0,Effector
HopH1,A.brasilense,0,Effector
HopL1,A.brasilense,0,Effector
HopAH2,A.brasilense,0,Effector
HopAJ1,A.brasilense,0,Effector
HopPtoC,A.brasilense,0,Effector
HopAV1,A.brasilense,0,Effector
HopAF1,A.brasilense,0,Effector
HopI1,A.brasilense,1,Effector
HopAE1,A.brasilense,0,Effector
HopAJ2,A.brasilense,1,Effector
HopAB1,A.brasilense,0,Effector
HopE1,A.brasilense,0,Effector
HopAW1,A.brasilense,0,Effector
HopP1,A.brasilense,1,Effector
AvrBs2,A.brasilense,0,Effector
AvrA,A.brasilense,0,Effector
AvrRxv,A.brasilense,0,Effector
AvrRpm1,A.brasilense,0,Effector
AvrXccE1,A.brasilense,0,Effector
AvrRpt2,A.brasilense,0,Effector
AvrBs3,A.brasilense,0,Effector
AvrE1,A.brasilense,0,Effector
AvrB3,A.brasilense,0,Effector
AvrXccB,A.brasilense,0,Effector
DspA/E,A.brasilense,0,Effector
DspF,A.brasilense,0,Effector
Rsc3369,A.brasilense,0,Effector
MxiE,A.brasilense,1,Effector
ExoU,A.brasilense,0,Effector
T2SS,A.brasilense,0,T2SS
T3SS,A.brasilense,0,T3SS
T4SS,A.brasilense,0,T4SS
T6SS,A.brasilense,0,T6SS
Flagella,A.brasilense,1,Flagella
Pili,A.brasilense,1,Pili
Pectate disaccharide-lyase,M.mesophilicum,0,PCWDE
Pectate lyase,M.mesophilicum,0,PCWDE
Rhanmogalacturonan endolyase,M.mesophilicum,0,PCWDE
Pectin lyase,M.mesophilicum,0,PCWDE
Cellulase,M.mesophilicum,1,PCWDE
beta-xylanase,M.mesophilicum,1,PCWDE
Arabinosidase,M.mesophilicum,0,PCWDE
beta-galactosidase,M.mesophilicum,0,PCWDE
beta-xylosidase,M.mesophilicum,0,PCWDE
beta-glucosidase,M.mesophilicum,0,PCWDE
alpha-galactosidase,M.mesophilicum,1,PCWDE
Galactanase,M.mesophilicum,0,PCWDE
Polyglacturonase,M.mesophilicum,0,PCWDE
Avicelase,M.mesophilicum,0,PCWDE
alpha-L-arabinosidase,M.mesophilicum,0,PCWDE
alpha-glucuronidase,M.mesophilicum,0,PCWDE
Harpin(HrpN),M.mesophilicum,0,Harpin
Harpin(HrpW),M.mesophilicum,0,Harpin
Harpin(HrpA2),M.mesophilicum,0,Harpin
Harpin(HrpZ1),M.mesophilicum,0,Harpin
Harpin(HrpK1),M.mesophilicum,0,Harpin
Harpin(PopW),M.mesophilicum,0,Harpin
Harpin(HrcR),M.mesophilicum,0,Harpin
Harpin(HopAK1),M.mesophilicum,0,Harpin
HopAN1,M.mesophilicum,1,Effector
HopAC1,M.mesophilicum,0,Effector
HopAG1,M.mesophilicum,0,Effector
HopAH1,M.mesophilicum,0,Effector
HopAI1,M.mesophilicum,0,Effector
HopJ1,M.mesophilicum,0,Effector
HopAA1,M.mesophilicum,0,Effector
HopM1,M.mesophilicum,0,Effector
HopX1,M.mesophilicum,0,Effector
HopQ1,M.mesophilicum,0,Effector
HopF2,M.mesophilicum,0,Effector
HopV1,M.mesophilicum,0,Effector
HopR1,M.mesophilicum,0,Effector
HopZ3,M.mesophilicum,0,Effector
HopH1,M.mesophilicum,0,Effector
HopL1,M.mesophilicum,0,Effector
HopAH2,M.mesophilicum,0,Effector
HopAJ1,M.mesophilicum,0,Effector
HopPtoC,M.mesophilicum,0,Effector
HopAV1,M.mesophilicum,0,Effector
HopAF1,M.mesophilicum,0,Effector
HopI1,M.mesophilicum,1,Effector
HopAE1,M.mesophilicum,0,Effector
HopAJ2,M.mesophilicum,1,Effector
HopAB1,M.mesophilicum,0,Effector
HopE1,M.mesophilicum,0,Effector
HopAW1,M.mesophilicum,0,Effector
HopP1,M.mesophilicum,0,Effector
AvrBs2,M.mesophilicum,1,Effector
AvrA,M.mesophilicum,0,Effector
AvrRxv,M.mesophilicum,0,Effector
AvrRpm1,M.mesophilicum,0,Effector
AvrXccE1,M.mesophilicum,0,Effector
AvrRpt2,M.mesophilicum,0,Effector
AvrBs3,M.mesophilicum,0,Effector
AvrE1,M.mesophilicum,0,Effector
AvrB3,M.mesophilicum,0,Effector
AvrXccB,M.mesophilicum,0,Effector
DspA/E,M.mesophilicum,0,Effector
DspF,M.mesophilicum,0,Effector
Rsc3369,M.mesophilicum,0,Effector
MxiE,M.mesophilicum,0,Effector
ExoU,M.mesophilicum,0,Effector
T2SS,M.mesophilicum,0,T2SS
T3SS,M.mesophilicum,0,T3SS
T4SS,M.mesophilicum,0,T4SS
T6SS,M.mesophilicum,0,T6SS
Flagella,M.mesophilicum,1,Flagella
Pili,M.mesophilicum,1,Pili
Pectate disaccharide-lyase,A.tumefaciens,0,PCWDE
Pectate lyase,A.tumefaciens,0,PCWDE
Rhanmogalacturonan endolyase,A.tumefaciens,0,PCWDE
Pectin lyase,A.tumefaciens,0,PCWDE
Cellulase,A.tumefaciens,1,PCWDE
beta-xylanase,A.tumefaciens,1,PCWDE
Arabinosidase,A.tumefaciens,0,PCWDE
beta-galactosidase,A.tumefaciens,0,PCWDE
beta-xylosidase,A.tumefaciens,0,PCWDE
beta-glucosidase,A.tumefaciens,1,PCWDE
alpha-galactosidase,A.tumefaciens,1,PCWDE
Galactanase,A.tumefaciens,0,PCWDE
Polyglacturonase,A.tumefaciens,0,PCWDE
Avicelase,A.tumefaciens,0,PCWDE
alpha-L-arabinosidase,A.tumefaciens,0,PCWDE
alpha-glucuronidase,A.tumefaciens,0,PCWDE
Harpin(HrpN),A.tumefaciens,0,Harpin
Harpin(HrpW),A.tumefaciens,0,Harpin
Harpin(HrpA2),A.tumefaciens,0,Harpin
Harpin(HrpZ1),A.tumefaciens,0,Harpin
Harpin(HrpK1),A.tumefaciens,0,Harpin
Harpin(PopW),A.tumefaciens,0,Harpin
Harpin(HrcR),A.tumefaciens,0,Harpin
Harpin(HopAK1),A.tumefaciens,0,Harpin
HopAN1,A.tumefaciens,1,Effector
HopAC1,A.tumefaciens,0,Effector
HopAG1,A.tumefaciens,0,Effector
HopAH1,A.tumefaciens,0,Effector
HopAI1,A.tumefaciens,0,Effector
HopJ1,A.tumefaciens,0,Effector
HopAA1,A.tumefaciens,0,Effector
HopM1,A.tumefaciens,0,Effector
HopX1,A.tumefaciens,0,Effector
HopQ1,A.tumefaciens,0,Effector
HopF2,A.tumefaciens,0,Effector
HopV1,A.tumefaciens,0,Effector
HopR1,A.tumefaciens,0,Effector
HopZ3,A.tumefaciens,0,Effector
HopH1,A.tumefaciens,0,Effector
HopL1,A.tumefaciens,0,Effector
HopAH2,A.tumefaciens,0,Effector
HopAJ1,A.tumefaciens,0,Effector
HopPtoC,A.tumefaciens,0,Effector
HopAV1,A.tumefaciens,0,Effector
HopAF1,A.tumefaciens,0,Effector
HopI1,A.tumefaciens,1,Effector
HopAE1,A.tumefaciens,0,Effector
HopAJ2,A.tumefaciens,1,Effector
HopAB1,A.tumefaciens,0,Effector
HopE1,A.tumefaciens,0,Effector
HopAW1,A.tumefaciens,0,Effector
HopP1,A.tumefaciens,0,Effector
AvrBs2,A.tumefaciens,1,Effector
AvrA,A.tumefaciens,0,Effector
AvrRxv,A.tumefaciens,0,Effector
AvrRpm1,A.tumefaciens,0,Effector
AvrXccE1,A.tumefaciens,0,Effector
AvrRpt2,A.tumefaciens,0,Effector
AvrBs3,A.tumefaciens,0,Effector
AvrE1,A.tumefaciens,0,Effector
AvrB3,A.tumefaciens,0,Effector
AvrXccB,A.tumefaciens,0,Effector
DspA/E,A.tumefaciens,0,Effector
DspF,A.tumefaciens,0,Effector
Rsc3369,A.tumefaciens,0,Effector
MxiE,A.tumefaciens,0,Effector
ExoU,A.tumefaciens,0,Effector
T2SS,A.tumefaciens,0,T2SS
T3SS,A.tumefaciens,0,T3SS
T4SS,A.tumefaciens,1,T4SS
T6SS,A.tumefaciens,1,T6SS
Flagella,A.tumefaciens,1,Flagella
Pili,A.tumefaciens,1,Pili
Pectate disaccharide-lyase,R.viciae,0,PCWDE
Pectate lyase,R.viciae,0,PCWDE
Rhanmogalacturonan endolyase,R.viciae,0,PCWDE
Pectin lyase,R.viciae,0,PCWDE
Cellulase,R.viciae,1,PCWDE
beta-xylanase,R.viciae,1,PCWDE
Arabinosidase,R.viciae,1,PCWDE
beta-galactosidase,R.viciae,1,PCWDE
beta-xylosidase,R.viciae,1,PCWDE
beta-glucosidase,R.viciae,1,PCWDE
alpha-galactosidase,R.viciae,1,PCWDE
Galactanase,R.viciae,0,PCWDE
Polyglacturonase,R.viciae,0,PCWDE
Avicelase,R.viciae,0,PCWDE
alpha-L-arabinosidase,R.viciae,0,PCWDE
alpha-glucuronidase,R.viciae,0,PCWDE
Harpin(HrpN),R.viciae,0,Harpin
Harpin(HrpW),R.viciae,0,Harpin
Harpin(HrpA2),R.viciae,0,Harpin
Harpin(HrpZ1),R.viciae,0,Harpin
Harpin(HrpK1),R.viciae,0,Harpin
Harpin(PopW),R.viciae,0,Harpin
Harpin(HrcR),R.viciae,0,Harpin
Harpin(HopAK1),R.viciae,0,Harpin
HopAN1,R.viciae,1,Effector
HopAC1,R.viciae,0,Effector
HopAG1,R.viciae,1,Effector
HopAH1,R.viciae,0,Effector
HopAI1,R.viciae,0,Effector
HopJ1,R.viciae,0,Effector
HopAA1,R.viciae,0,Effector
HopM1,R.viciae,0,Effector
HopX1,R.viciae,0,Effector
HopQ1,R.viciae,0,Effector
HopF2,R.viciae,0,Effector
HopV1,R.viciae,0,Effector
HopR1,R.viciae,0,Effector
HopZ3,R.viciae,0,Effector
HopH1,R.viciae,0,Effector
HopL1,R.viciae,0,Effector
HopAH2,R.viciae,0,Effector
HopAJ1,R.viciae,0,Effector
HopPtoC,R.viciae,0,Effector
HopAV1,R.viciae,0,Effector
HopAF1,R.viciae,0,Effector
HopI1,R.viciae,1,Effector
HopAE1,R.viciae,0,Effector
HopAJ2,R.viciae,1,Effector
HopAB1,R.viciae,0,Effector
HopE1,R.viciae,0,Effector
HopAW1,R.viciae,0,Effector
HopP1,R.viciae,0,Effector
AvrBs2,R.viciae,1,Effector
AvrA,R.viciae,0,Effector
AvrRxv,R.viciae,0,Effector
AvrRpm1,R.viciae,0,Effector
AvrXccE1,R.viciae,0,Effector
AvrRpt2,R.viciae,0,Effector
AvrBs3,R.viciae,0,Effector
AvrE1,R.viciae,0,Effector
AvrB3,R.viciae,0,Effector
AvrXccB,R.viciae,0,Effector
DspA/E,R.viciae,0,Effector
DspF,R.viciae,0,Effector
Rsc3369,R.viciae,0,Effector
MxiE,R.viciae,0,Effector
ExoU,R.viciae,0,Effector
T2SS,R.viciae,0,T2SS
T3SS,R.viciae,0,T3SS
T4SS,R.viciae,1,T4SS
T6SS,R.viciae,1,T6SS
Flagella,R.viciae,1,Flagella
Pili,R.viciae,1,Pili
Pectate disaccharide-lyase,R.trifolii,0,PCWDE
Pectate lyase,R.trifolii,0,PCWDE
Rhanmogalacturonan endolyase,R.trifolii,0,PCWDE
Pectin lyase,R.trifolii,0,PCWDE
Cellulase,R.trifolii,1,PCWDE
beta-xylanase,R.trifolii,1,PCWDE
Arabinosidase,R.trifolii,1,PCWDE
beta-galactosidase,R.trifolii,1,PCWDE
beta-xylosidase,R.trifolii,1,PCWDE
beta-glucosidase,R.trifolii,0,PCWDE
alpha-galactosidase,R.trifolii,1,PCWDE
Galactanase,R.trifolii,0,PCWDE
Polyglacturonase,R.trifolii,0,PCWDE
Avicelase,R.trifolii,0,PCWDE
alpha-L-arabinosidase,R.trifolii,0,PCWDE
alpha-glucuronidase,R.trifolii,0,PCWDE
Harpin(HrpN),R.trifolii,0,Harpin
Harpin(HrpW),R.trifolii,0,Harpin
Harpin(HrpA2),R.trifolii,0,Harpin
Harpin(HrpZ1),R.trifolii,0,Harpin
Harpin(HrpK1),R.trifolii,0,Harpin
Harpin(PopW),R.trifolii,0,Harpin
Harpin(HrcR),R.trifolii,0,Harpin
Harpin(HopAK1),R.trifolii,0,Harpin
HopAN1,R.trifolii,1,Effector
HopAC1,R.trifolii,0,Effector
HopAG1,R.trifolii,1,Effector
HopAH1,R.trifolii,0,Effector
HopAI1,R.trifolii,0,Effector
HopJ1,R.trifolii,0,Effector
HopAA1,R.trifolii,0,Effector
HopM1,R.trifolii,0,Effector
HopX1,R.trifolii,0,Effector
HopQ1,R.trifolii,0,Effector
HopF2,R.trifolii,0,Effector
HopV1,R.trifolii,0,Effector
HopR1,R.trifolii,0,Effector
HopZ3,R.trifolii,0,Effector
HopH1,R.trifolii,0,Effector
HopL1,R.trifolii,0,Effector
HopAH2,R.trifolii,0,Effector
HopAJ1,R.trifolii,0,Effector
HopPtoC,R.trifolii,0,Effector
HopAV1,R.trifolii,0,Effector
HopAF1,R.trifolii,0,Effector
HopI1,R.trifolii,1,Effector
HopAE1,R.trifolii,0,Effector
HopAJ2,R.trifolii,1,Effector
HopAB1,R.trifolii,0,Effector
HopE1,R.trifolii,0,Effector
HopAW1,R.trifolii,0,Effector
HopP1,R.trifolii,0,Effector
AvrBs2,R.trifolii,0,Effector
AvrA,R.trifolii,0,Effector
AvrRxv,R.trifolii,0,Effector
AvrRpm1,R.trifolii,0,Effector
AvrXccE1,R.trifolii,0,Effector
AvrRpt2,R.trifolii,0,Effector
AvrBs3,R.trifolii,0,Effector
AvrE1,R.trifolii,0,Effector
AvrB3,R.trifolii,0,Effector
AvrXccB,R.trifolii,0,Effector
DspA/E,R.trifolii,0,Effector
DspF,R.trifolii,0,Effector
Rsc3369,R.trifolii,0,Effector
MxiE,R.trifolii,0,Effector
ExoU,R.trifolii,0,Effector
T2SS,R.trifolii,0,T2SS
T3SS,R.trifolii,2,T3SS
T4SS,R.trifolii,2,T4SS
T6SS,R.trifolii,1,T6SS
Flagella,R.trifolii,1,Flagella
Pili,R.trifolii,1,Pili
Pectate disaccharide-lyase,H.seropedicae,0,PCWDE
Pectate lyase,H.seropedicae,0,PCWDE
Rhanmogalacturonan endolyase,H.seropedicae,0,PCWDE
Pectin lyase,H.seropedicae,0,PCWDE
Cellulase,H.seropedicae,0,PCWDE
beta-xylanase,H.seropedicae,0,PCWDE
Arabinosidase,H.seropedicae,0,PCWDE
beta-galactosidase,H.seropedicae,1,PCWDE
beta-xylosidase,H.seropedicae,0,PCWDE
beta-glucosidase,H.seropedicae,1,PCWDE
alpha-galactosidase,H.seropedicae,0,PCWDE
Galactanase,H.seropedicae,0,PCWDE
Polyglacturonase,H.seropedicae,0,PCWDE
Avicelase,H.seropedicae,0,PCWDE
alpha-L-arabinosidase,H.seropedicae,0,PCWDE
alpha-glucuronidase,H.seropedicae,0,PCWDE
Harpin(HrpN),H.seropedicae,0,Harpin
Harpin(HrpW),H.seropedicae,0,Harpin
Harpin(HrpA2),H.seropedicae,0,Harpin
Harpin(HrpZ1),H.seropedicae,0,Harpin
Harpin(HrpK1),H.seropedicae,0,Harpin
Harpin(PopW),H.seropedicae,0,Harpin
Harpin(HrcR),H.seropedicae,0,Harpin
Harpin(HopAK1),H.seropedicae,0,Harpin
HopAN1,H.seropedicae,1,Effector
HopAC1,H.seropedicae,0,Effector
HopAG1,H.seropedicae,0,Effector
HopAH1,H.seropedicae,0,Effector
HopAI1,H.seropedicae,0,Effector
HopJ1,H.seropedicae,0,Effector
HopAA1,H.seropedicae,0,Effector
HopM1,H.seropedicae,0,Effector
HopX1,H.seropedicae,0,Effector
HopQ1,H.seropedicae,0,Effector
HopF2,H.seropedicae,0,Effector
HopV1,H.seropedicae,0,Effector
HopR1,H.seropedicae,0,Effector
HopZ3,H.seropedicae,0,Effector
HopH1,H.seropedicae,0,Effector
HopL1,H.seropedicae,0,Effector
HopAH2,H.seropedicae,0,Effector
HopAJ1,H.seropedicae,0,Effector
HopPtoC,H.seropedicae,0,Effector
HopAV1,H.seropedicae,0,Effector
HopAF1,H.seropedicae,0,Effector
HopI1,H.seropedicae,1,Effector
HopAE1,H.seropedicae,0,Effector
HopAJ2,H.seropedicae,0,Effector
HopAB1,H.seropedicae,0,Effector
HopE1,H.seropedicae,0,Effector
HopAW1,H.seropedicae,0,Effector
HopP1,H.seropedicae,0,Effector
AvrBs2,H.seropedicae,1,Effector
AvrA,H.seropedicae,0,Effector
AvrRxv,H.seropedicae,0,Effector
AvrRpm1,H.seropedicae,0,Effector
AvrXccE1,H.seropedicae,0,Effector
AvrRpt2,H.seropedicae,0,Effector
AvrBs3,H.seropedicae,0,Effector
AvrE1,H.seropedicae,0,Effector
AvrB3,H.seropedicae,0,Effector
AvrXccB,H.seropedicae,0,Effector
DspA/E,H.seropedicae,0,Effector
DspF,H.seropedicae,0,Effector
Rsc3369,H.seropedicae,0,Effector
MxiE,H.seropedicae,0,Effector
ExoU,H.seropedicae,1,Effector
T2SS,H.seropedicae,0,T2SS
T3SS,H.seropedicae,1,T3SS
T4SS,H.seropedicae,0,T4SS
T6SS,H.seropedicae,1,T6SS
Flagella,H.seropedicae,1,Flagella
Pili,H.seropedicae,1,Pili
Pectate disaccharide-lyase,X.fastidiosa,0,PCWDE
Pectate lyase,X.fastidiosa,0,PCWDE
Rhanmogalacturonan endolyase,X.fastidiosa,0,PCWDE
Pectin lyase,X.fastidiosa,0,PCWDE
Cellulase,X.fastidiosa,1,PCWDE
beta-xylanase,X.fastidiosa,0,PCWDE
Arabinosidase,X.fastidiosa,0,PCWDE
beta-galactosidase,X.fastidiosa,0,PCWDE
beta-xylosidase,X.fastidiosa,0,PCWDE
beta-glucosidase,X.fastidiosa,0,PCWDE
alpha-galactosidase,X.fastidiosa,0,PCWDE
Galactanase,X.fastidiosa,0,PCWDE
Polyglacturonase,X.fastidiosa,1,PCWDE
Avicelase,X.fastidiosa,1,PCWDE
alpha-L-arabinosidase,X.fastidiosa,0,PCWDE
alpha-glucuronidase,X.fastidiosa,0,PCWDE
Harpin(HrpN),X.fastidiosa,0,Harpin
Harpin(HrpW),X.fastidiosa,0,Harpin
Harpin(HrpA2),X.fastidiosa,0,Harpin
Harpin(HrpZ1),X.fastidiosa,0,Harpin
Harpin(HrpK1),X.fastidiosa,0,Harpin
Harpin(PopW),X.fastidiosa,0,Harpin
Harpin(HrcR),X.fastidiosa,0,Harpin
Harpin(HopAK1),X.fastidiosa,0,Harpin
HopAN1,X.fastidiosa,0,Effector
HopAC1,X.fastidiosa,0,Effector
HopAG1,X.fastidiosa,0,Effector
HopAH1,X.fastidiosa,0,Effector
HopAI1,X.fastidiosa,0,Effector
HopJ1,X.fastidiosa,0,Effector
HopAA1,X.fastidiosa,0,Effector
HopM1,X.fastidiosa,0,Effector
HopX1,X.fastidiosa,0,Effector
HopQ1,X.fastidiosa,0,Effector
HopF2,X.fastidiosa,0,Effector
HopV1,X.fastidiosa,0,Effector
HopR1,X.fastidiosa,0,Effector
HopZ3,X.fastidiosa,0,Effector
HopH1,X.fastidiosa,0,Effector
HopL1,X.fastidiosa,0,Effector
HopAH2,X.fastidiosa,0,Effector
HopAJ1,X.fastidiosa,0,Effector
HopPtoC,X.fastidiosa,0,Effector
HopAV1,X.fastidiosa,0,Effector
HopAF1,X.fastidiosa,0,Effector
HopI1,X.fastidiosa,1,Effector
HopAE1,X.fastidiosa,0,Effector
HopAJ2,X.fastidiosa,1,Effector
HopAB1,X.fastidiosa,0,Effector
HopE1,X.fastidiosa,0,Effector
HopAW1,X.fastidiosa,0,Effector
HopP1,X.fastidiosa,0,Effector
AvrBs2,X.fastidiosa,0,Effector
AvrA,X.fastidiosa,0,Effector
AvrRxv,X.fastidiosa,0,Effector
AvrRpm1,X.fastidiosa,0,Effector
AvrXccE1,X.fastidiosa,0,Effector
AvrRpt2,X.fastidiosa,0,Effector
AvrBs3,X.fastidiosa,0,Effector
AvrE1,X.fastidiosa,0,Effector
AvrB3,X.fastidiosa,0,Effector
AvrXccB,X.fastidiosa,0,Effector
DspA/E,X.fastidiosa,0,Effector
DspF,X.fastidiosa,0,Effector
Rsc3369,X.fastidiosa,0,Effector
MxiE,X.fastidiosa,0,Effector
ExoU,X.fastidiosa,1,Effector
T2SS,X.fastidiosa,1,T2SS
T3SS,X.fastidiosa,0,T3SS
T4SS,X.fastidiosa,2,T4SS
T6SS,X.fastidiosa,0,T6SS
Flagella,X.fastidiosa,2,Flagella
Pili,X.fastidiosa,1,Pili
Pectate disaccharide-lyase,R.solanacearum,0,PCWDE
Pectate lyase,R.solanacearum,1,PCWDE
Rhanmogalacturonan endolyase,R.solanacearum,0,PCWDE
Pectin lyase,R.solanacearum,1,PCWDE
Cellulase,R.solanacearum,1,PCWDE
beta-xylanase,R.solanacearum,0,PCWDE
Arabinosidase,R.solanacearum,0,PCWDE
beta-galactosidase,R.solanacearum,0,PCWDE
beta-xylosidase,R.solanacearum,0,PCWDE
beta-glucosidase,R.solanacearum,0,PCWDE
